title,company,location,link
Native Korean Speaking Software Test QA Engineer,TikTok,서울 여의도역,https://www.indeed.com/viewjob?jk=cc8638c882ae74c5
2021년도 국가정보원 연계형 인턴 선발,국가정보원,서울 서초구,https://www.indeed.com/viewjob?jk=668a66da41da83d3
2021 토스 전 계열사 대규모,비바리퍼블리카,서울 강남구,https://www.indeed.com/viewjob?jk=39e99c8ed1d40a8f
2021년 2월 경력사원 (Battery연구소),LG에너지솔루션,대전 유성구,https://www.indeed.com/viewjob?jk=31c20e6695f301ee
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://www.indeed.com/viewjob?jk=55584c627df1acaa
Machine Learning Researcher (Intern),Qualcomm Korea YH,서울,https://www.indeed.com/viewjob?jk=0f7993638aee82bd
솔루션 엔지니어 (Network Infra),글로벌 네트워크 회사,서울 강남구,https://www.indeed.com/viewjob?jk=c52b13ca64b943c1
NLP Researcher,AITRICS,서울,https://www.indeed.com/viewjob?jk=3cf01580ba5eb23a
Data Scientist/Data Engineering 경력사원 공고,LG전자,서울특별시,https://www.indeed.com/viewjob?jk=8fd83c6a728843c0
[Search] [Vision] Computer Vision Engineer 신입/경력사원,네이버,서울,https://www.indeed.com/viewjob?jk=f9dcc4b277dfcebc
국내카드사 DW개발/운영.,제이엔커리어,서울 서초구,https://www.indeed.com/viewjob?jk=2ad0f62f50147fa4
Data Scientist,Motion2AI,서울,https://www.indeed.com/viewjob?jk=3202bf1a79e70cb2
광학솔루션사업부 신입 석/박사 수시(R&D분야),LG이노텍,경기도 안산,https://www.indeed.com/viewjob?jk=a54f7baa4f06f4c1
Field Service Engineer,Nearfield Instruments,대한민국,https://www.indeed.com/viewjob?jk=89f3e10d77a126bf
[한국자산평가] 인턴,한국자산평가,서울 종로구,https://www.indeed.com/viewjob?jk=c19bec245c6f1815
DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원,대구 현풍면,https://www.indeed.com/viewjob?jk=4cd34228af5013fd
"Field Applications Engineer, Audio",Dolby,서울,https://www.indeed.com/viewjob?jk=7cb5c3076d1701db
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://www.indeed.com/viewjob?jk=4bd70fb8a220d90d
"Engr, Apps Dev 2",KLA-Tencor,대한민국,https://www.indeed.com/viewjob?jk=ab38178e6071aa0f
Datacenter Engineer (강원도 춘천 근무),Oracle,서울,https://www.indeed.com/viewjob?jk=fd4cb07161910b14
DevOps/MLOps Engineer,AITRICS,서울,https://www.indeed.com/viewjob?jk=335b6cdc85206ccc
"Design Consultant, Staff",Synopsys,대한민국,https://www.indeed.com/viewjob?jk=7e9a745cd8bdcbe3
석유화학사업본부 DX(Digital Transformation)분야 경력사원 (설비관리/생산최적화/AI),LG화학,서울 영등포구,https://www.indeed.com/viewjob?jk=8bf450b32fd92156
데이터 분석가 모집,카카오,성남 판교역,https://www.indeed.com/viewjob?jk=092d062a6faa7139
Field Application Engineer,"Quectel Wireless Solution Co,.LTD",경기도 성남,https://www.indeed.com/viewjob?jk=68c314d4a02b84a6
Native Korean Speaking Software Test QA Engineer,TikTok,서울 여의도역,https://www.indeed.com/viewjob?jk=cc8638c882ae74c5
"Application Engineer South Korea (Physics, EE)",Zurich Instruments,대한민국,https://www.indeed.com/viewjob?jk=444320d2e49672dc
시스템 엔지니어링,NHN,성남 판교역,https://www.indeed.com/viewjob?jk=5cb14c0712a6c4c1
퍼즐데이터 역량있는 데이터 분석가,주식회사퍼즐데이터,서울 역삼동,https://www.indeed.com/viewjob?jk=116009dbf59211ed
"Design Consultant, Staff",Synopsys,대한민국,https://www.indeed.com/viewjob?jk=7e9a745cd8bdcbe3
자연어처러(NLP) 리서처/개발자,주식회사 바운티팜,서울 역삼역,https://www.indeed.com/viewjob?jk=0e894c3561c377f6
혁신성장 클라우드 아카데미 4기 교육생,한국클라우드컴퓨팅연구조합,서울,https://www.indeed.com/viewjob?jk=e77aa802761fd34d
경영지원본부 전산팀(IT) 경력사원,디비자산운용,대한민국,https://www.indeed.com/viewjob?jk=6ac2f6c2b56e657e
시스템 엔지니어,아프리카TV,경기도 성남,https://www.indeed.com/viewjob?jk=9dad04b0ae0c86d7
[브랜디] 경영본부/사업본부/개발직군 신입 및 경력,브랜디,서울 강남구,https://www.indeed.com/viewjob?jk=cd5ca556791f1f79
클라우드 오퍼레이션 엔지니어,NHN SOFT,성남 판교역,https://www.indeed.com/viewjob?jk=8bcc7807085700a7
System Engineer,Toss,서울 강남구,https://www.indeed.com/viewjob?jk=80dea8b8353c3ee0
데이터 분석,아프리카TV,경기도 성남,https://www.indeed.com/viewjob?jk=7fdcd7a7457b1e93
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://www.indeed.com/viewjob?jk=e934bb33ef71dacb
Security Engineer (모의해킹),Toss,서울 강남구,https://www.indeed.com/viewjob?jk=0b03d57e900ac140
머신러닝 개발자 모집,넷마블,서울 구로구,https://www.indeed.com/viewjob?jk=481f953ccaa4bc96
